title,url
Baldur's Gate 3 Steam Deck â€“ Native Version,https://larian.com/support/faqs/steam-deck-native-version_121
Find SF parking cops,https://walzr.com/sf-parking/
Libghostty is coming,https://mitchellh.com/writing/libghostty-is-coming
Qwen3-VL,https://qwen.ai/blog?id=99f0335c4ad9ff6153e517418d48535ab6d8afef&from=research.latest-advancements-list
A webshell and a normal file that have the same MD5,https://github.com/phith0n/collision-webshell
Top Programming Languages 2025,https://spectrum.ieee.org/top-programming-languages-2025
Markov chains are the original language models,https://elijahpotter.dev/articles/markov_chains_are_the_original_language_models
Quadratic memory reductions for Zero-knowledge Proofs,https://github.com/logannye/space-efficient-zero-knowledge-proofs
Building a better online editor for TypeScript,https://blog.val.town/vtlsp
From Rust to reality: The hidden journey of fetch_max,https://questdb.com/blog/rust-fetch-max-compiler-journey/
Getting AI to work in complex codebases,https://github.com/humanlayer/advanced-context-engineering-for-coding-agents/blob/main/ace-fca.md
Podman Desktop celebrates 3M downloads,https://podman-desktop.io/blog/3-million
Is life a form of computation?,https://thereader.mitpress.mit.edu/is-life-a-form-of-computation/
Processing Strings 109x Faster Than Nvidia on H100,https://ashvardanian.com/posts/stringwars-on-gpus/
New study shows plants and animals emit a visible light that expires at death,https://pubs.acs.org/doi/10.1021/acs.jpclett.4c03546
A vibrator helped me debug a motorcycle brake light system,https://bikesafe.me/blogs/news/how-a-vibrator-helped-me-debug-a-motorcycle-brake-light-system
"Zutty: Zero-cost Unicode Teletype, high-end terminal for low-end systems",https://git.hq.sig7.se/zutty.git
Greatest irony of the AI age: Humans hired to clean AI slop,https://www.sify.com/ai-analytics/greatest-irony-of-the-ai-age-humans-being-increasingly-hired-to-clean-ai-slop/
Introduction to Programming Languages,https://hjaem.info/itpl
Why is modern data architecture so confusing? And what made sense for me,https://www.exasol.com/hub/data-warehouse/architecture/
